Title,Category,longitude,latitude
"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving,8.568152,33.793644
Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical,37.84993,-1.5282123
"Career/Technical Education Teachers, Middle School",Educational Instruction and Library,29.406284,15.897048
"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library,31.470932,-9.638092
"Career/Technical Education Teachers, Secondary School",Educational Instruction and Library,29.797646,16.723316
Cargo and Freight Agents,Office and Administrative Support,-9.460208,11.851172
Carpenters,Construction and Extraction,16.110731,27.409946
Carpet Installers,Construction and Extraction,-26.762447,19.664394
Cartographers and Photogrammetrists,Architecture and Engineering,-11.002456,-13.19266
Cashiers,Sales and Related,-1.3308549,15.764717
Cement Masons and Concrete Finishers,Construction and Extraction,-7.167684,30.968542
Chefs and Head Cooks,Food Preparation and Serving Related,-23.209589,0.7931309
Chemical Engineers,Architecture and Engineering,-18.080593,-19.325401
Chemical Equipment Operators and Tenders,Production,-16.076168,19.804743
Chemical Plant and System Operators,Production,-17.230143,19.127415
Chemical Technicians,"Life, Physical, and Social Science",-17.547796,-17.921974
"Chemistry Teachers, Postsecondary",Educational Instruction and Library,9.681582,-5.5754514
Chemists,"Life, Physical, and Social Science",-17.233154,-18.028084
Chief Executives,Management,33.80957,0.17147835
Chief Sustainability Officers,Management,-10.002989,-15.757439
"Child, Family, and School Social Workers",Community and Social Service,18.070951,-31.395864
Childcare Workers,Personal Care and Service,5.6105404,-13.055611
Chiropractors,Healthcare Practitioners and Technical,-1.3198309,-30.016352
Choreographers,"Arts, Design, Entertainment, Sports, and Media",-8.569506,-1.4939501
Civil Engineering Technologists and Technicians,Architecture and Engineering,-22.314436,-16.945335
Civil Engineers,Architecture and Engineering,-12.984839,1.8011894
"Claims Adjusters, Examiners, and Investigators",Accountants and Auditors,3.2907317,12.054905
Cleaners of Vehicles and Equipment,Transportation and Material Moving,-9.374445,23.869576
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production,-34.093994,-11.266615
Clergy,Community and Social Service,5.2218757,-17.120113
Climate Change Policy Analysts,"Life, Physical, and Social Science",-10.847362,-16.96614
Clinical and Counseling Psychologists,"Life, Physical, and Social Science",26.873753,18.392124
Clinical Data Managers,Computer and Mathematical,-8.118233,-11.805422
Clinical Nurse Specialists,Healthcare Practitioners and Technical,23.359783,4.484102
Clinical Research Coordinators,Management,23.181633,5.316947
Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media",21.580494,11.95018
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Production,16.5444,31.866308
"Coil Winders, Tapers, and Finishers",Production,-31.462845,-14.521331
"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair",-28.25584,-10.976671
Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media",-10.49999,0.25814158
Commercial Divers,"Installation, Maintenance, and Repair",2.3434215,24.524973
Commercial Pilots,Transportation and Material Moving,3.611419,18.759163
"Communications Teachers, Postsecondary",Educational Instruction and Library,30.597929,-8.265346
Community Health Workers,Community and Social Service,24.339981,4.3801517
Compensation and Benefits Managers,Management,7.7516084,5.4424
"Compensation, Benefits, and Job Analysis Specialists",Accountants and Auditors,8.55665,6.304592
Compliance Managers,Management,13.182348,12.140816
Compliance Officers,Accountants and Auditors,-23.107939,-21.07187
Computer and Information Research Scientists,Computer and Mathematical,-20.539991,-26.96242
Computer and Information Systems Managers,Management,-15.262673,-5.931464
Computer Hardware Engineers,Architecture and Engineering,-10.456685,-10.326293
Computer Network Architects,Computer and Mathematical,11.458489,13.065349
Computer Network Support Specialists,Computer and Mathematical,-4.4127774,-2.9607785
Computer Numerically Controlled Tool Operators,Production,2.9022262,27.97533
Computer Numerically Controlled Tool Programmers,Production,27.353756,-7.254853
Computer Programmers,Computer and Mathematical,-11.690452,1.440575
"Computer Science Teachers, Postsecondary",Educational Instruction and Library,1.2846512,-14.684211
Computer Systems Analysts,Computer and Mathematical,2.309795,2.3297458
Computer Systems Engineers/Architects,Computer and Mathematical,2.2787359,1.7680478
Computer User Support Specialists,Computer and Mathematical,-15.51267,-5.227287
"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",-9.419837,18.564856
Concierges,Personal Care and Service,-26.941923,-17.669422
Conservation Scientists,"Life, Physical, and Social Science",20.2598,23.107439
Construction and Building Inspectors,Construction and Extraction,-4.870166,6.7605534
Construction Laborers,Construction and Extraction,18.976784,29.910692
Construction Managers,Management,0.99612975,8.917309
Continuous Mining Machine Operators,Construction and Extraction,-31.403671,-12.959764
"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair",22.055845,32.736687
Conveyor Operators and Tenders,Transportation and Material Moving,10.7044935,24.86958
"Cooks, Fast Food",Food Preparation and Serving Related,-25.612724,-7.5392213
"Cooks, Institution and Cafeteria",Food Preparation and Serving Related,-17.398575,0.9879165
"Cooks, Private Household",Food Preparation and Serving Related,-26.172508,-23.515392
"Cooks, Restaurant",Food Preparation and Serving Related,-24.489887,2.6184237
"Cooks, Short Order",Food Preparation and Serving Related,-37.07052,-14.725829
Cooling and Freezing Equipment Operators and Tenders,Production,-14.273505,17.814747
Coroners,Accountants and Auditors,-0.23257104,-8.528863
Correctional Officers and Jailers,Protective Service,5.536392,10.192111
Correspondence Clerks,Office and Administrative Support,-14.695317,-2.5536685
Cost Estimators,Accountants and Auditors,-23.23652,-16.936064
Costume Attendants,Personal Care and Service,-5.686464,11.348489
Counter and Rental Clerks,Sales and Related,-23.614872,-12.147104
Couriers and Messengers,Office and Administrative Support,-16.284914,-1.1513673
Court Reporters and Simultaneous Captioners,"Arts, Design, Entertainment, Sports, and Media",-25.734383,-26.542484
"Court, Municipal, and License Clerks",Office and Administrative Support,19.485792,9.639388
Craft Artists,"Arts, Design, Entertainment, Sports, and Media",-27.839006,-21.231495
Crane and Tower Operators,Transportation and Material Moving,-30.33316,-13.45376
Credit Analysts,Accountants and Auditors,-20.908669,-22.62434
"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,37.9339,-10.342123
Credit Counselors,Accountants and Auditors,32.26046,-0.059039272
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Educational Instruction and Library,-2.0174713,-17.660772
Critical Care Nurses,Healthcare Practitioners and Technical,34.370895,-2.3495376
Crossing Guards and Flaggers,Protective Service,-32.002472,-19.317593
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Production,-21.95827,7.9251657
Curators,Educational Instruction and Library,-12.895944,-3.3530834
Customer Service Representatives,Office and Administrative Support,-13.440547,-7.9467883
Customs and Border Protection Officers,Protective Service,-22.950243,-14.692748
Customs Brokers,Accountants and Auditors,-2.8270822,-7.4374757
"Cutters and Trimmers, Hand",Production,-21.322971,14.965471
"Cutting and Slicing Machine Setters, Operators, and Tenders",Production,16.547018,30.367548
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production,16.420517,33.23639
Cytogenetic Technologists,Healthcare Practitioners and Technical,28.585522,26.607239
Cytotechnologists,Healthcare Practitioners and Technical,-6.560316,-25.333654
Dancers,"Arts, Design, Entertainment, Sports, and Media",-16.074238,-25.893753
Data Entry Keyers,Office and Administrative Support,51.4961,-39.41889
Data Warehousing Specialists,Computer and Mathematical,-6.9524813,-10.577667
Database Administrators,Computer and Mathematical,-6.985106,-3.6228993
Database Architects,Computer and Mathematical,6.1984262,0.64837945
Demonstrators and Product Promoters,Sales and Related,-8.578705,2.3252814
Dental Assistants,Healthcare Support,-6.8247614,-27.824875
Dental Hygienists,Healthcare Practitioners and Technical,-4.4690285,-26.301197
Dental Laboratory Technicians,Production,-15.763852,8.502458
"Dentists, General",Healthcare Practitioners and Technical,15.894649,-11.640874
Dermatologists,Healthcare Practitioners and Technical,15.81654,-16.350235
"Derrick Operators, Oil and Gas",Construction and Extraction,-32.143265,-7.816925
Desktop Publishers,Office and Administrative Support,-17.808641,-4.23691
Detectives and Criminal Investigators,Protective Service,14.356175,4.128752
Diagnostic Medical Sonographers,Healthcare Practitioners and Technical,14.184775,-1.4697227
Dietetic Technicians,Healthcare Practitioners and Technical,-5.341275,-25.577723
Dietitians and Nutritionists,Healthcare Practitioners and Technical,16.440428,7.93787
Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related,-4.194711,19.612316
"Directors, Religious Activities and Education",Community and Social Service,-3.929009,-18.318586
Dishwashers,Food Preparation and Serving Related,-36.939953,-15.423942
"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support,-28.541964,-15.523148
Document Management Specialists,Computer and Mathematical,5.4504256,1.1221234
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related,-29.813366,-22.963552
Dredge Operators,Transportation and Material Moving,51.4961,-39.41889
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production,-14.189621,10.76715
Driver/Sales Workers,Transportation and Material Moving,-30.742414,-21.797892
Drywall and Ceiling Tile Installers,Construction and Extraction,17.436588,30.630474
"Earth Drillers, Except Oil and Gas",Construction and Extraction,9.669814,25.935896
"Economics Teachers, Postsecondary",Educational Instruction and Library,-1.0449996,-16.934496
Economists,"Life, Physical, and Social Science",-15.308399,-21.651323
Editors,"Arts, Design, Entertainment, Sports, and Media",-1.1381079,10.7217045
"Education Administrators, Kindergarten through Secondary",Management,26.016878,22.175125
"Education Administrators, Postsecondary",Management,25.52692,13.62593
"Education and Childcare Administrators, Preschool and Daycare",Management,31.689545,-10.192014
"Education Teachers, Postsecondary",Educational Instruction and Library,3.2869892,-15.26678
"Educational, Guidance, and Career Counselors and Advisors",Community and Social Service,25.960363,22.068495
"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair",19.137348,34.86443
Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering,25.439798,27.070154
Electrical and Electronic Equipment Assemblers,Production,-31.28965,2.3729844
Electrical and Electronics Drafters,Architecture and Engineering,20.303995,24.562101
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Installation, Maintenance, and Repair",-28.143715,5.313664
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Installation, Maintenance, and Repair",-11.595824,8.588534
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Installation, Maintenance, and Repair",-17.960123,2.7716367
Electrical Engineers,Architecture and Engineering,2.5430796,4.2141337
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair",3.7474911,25.673868
Electricians,Construction and Extraction,3.059581,25.842619
Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering,18.676725,25.116455
Electromechanical Equipment Assemblers,Production,-32.296597,1.3565284
"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair",-33.14296,-15.720826
"Electronics Engineers, Except Computer",Architecture and Engineering,9.342411,10.031804
"Elementary School Teachers, Except Special Education",Educational Instruction and Library,31.33804,15.376099
Elevator and Escalator Installers and Repairers,Construction and Extraction,-10.66483,20.236326
"Eligibility Interviewers, Government Programs",Office and Administrative Support,-13.80231,-3.5836937
Embalmers,Personal Care and Service,7.52588,27.570995
Emergency Management Directors,Management,15.675823,11.391891
Endoscopy Technicians,Healthcare Support,-11.82166,-26.242067
Energy Auditors,Construction and Extraction,2.8713117,-1.2485075
"Energy Engineers, Except Wind and Solar",Architecture and Engineering,-9.290478,-14.333365
Engine and Other Machine Assemblers,Production,-32.405914,1.0512503
"Engineering Teachers, Postsecondary",Educational Instruction and Library,4.121916,-15.296579
"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library,10.975192,-3.611213
Environmental Compliance Inspectors,Accountants and Auditors,15.874545,10.628402
Environmental Economists,"Life, Physical, and Social Science",-7.449829,-5.8555846
Environmental Engineering Technologists and Technicians,Architecture and Engineering,3.015768,7.7276883
Environmental Engineers,Architecture and Engineering,13.227086,10.144344
Environmental Restoration Planners,"Life, Physical, and Social Science",-1.9511864,3.972916
"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science",7.760587,11.940721
"Environmental Science Teachers, Postsecondary",Educational Instruction and Library,32.37882,-6.8268867
"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science",7.597472,2.7079422
Epidemiologists,"Life, Physical, and Social Science",3.5015123,-9.11039
Equal Opportunity Representatives and Officers,Accountants and Auditors,-11.626701,3.8572402
Etchers and Engravers,Production,15.001089,32.69829
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Construction and Extraction,-25.08831,7.5843306
Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support,33.343487,-9.41699
Exercise Physiologists,Healthcare Practitioners and Technical,13.050611,-1.567772
Exercise Trainers and Group Fitness Instructors,Personal Care and Service,8.049658,-11.082005
"Explosives Workers, Ordnance Handling Experts, and Blasters",Construction and Extraction,19.15291,28.717196
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production,-20.976997,6.928812
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Production,-14.162736,18.799871
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production,12.35196,28.2387
Fabric and Apparel Patternmakers,Production,-23.593086,12.102657
Fallers,"Farming, Fishing, and Forestry",0.39995387,21.433207
"Family and Consumer Sciences Teachers, Postsecondary",Educational Instruction and Library,31.058308,-8.178224
Family Medicine Physicians,Healthcare Practitioners and Technical,-0.69027233,-26.487007
Farm and Home Management Educators,Educational Instruction and Library,-16.373539,-22.411106
Farm Equipment Mechanics and Service Technicians,"Installation, Maintenance, and Repair",-32.24421,-15.040673
Farm Labor Contractors,Accountants and Auditors,51.4961,-39.41889
"Farmers, Ranchers, and Other Agricultural Managers",Management,26.786686,28.701946
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6.1623554,30.55114
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry",-5.0823374,13.222054
Fashion Designers,"Arts, Design, Entertainment, Sports, and Media",-10.2352705,-1.831745
Fast Food and Counter Workers,Food Preparation and Serving Related,-3.020608,20.311394
Fence Erectors,Construction and Extraction,-25.999292,19.322353
Fiberglass Laminators and Fabricators,Production,-22.289824,19.212831
File Clerks,Office and Administrative Support,-15.227892,-1.9501691
Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media",-8.239116,14.793449
Financial Examiners,Accountants and Auditors,-4.811039,2.1095476
Financial Managers,Management,-10.304384,-7.6892133
Financial Quantitative Analysts,Accountants and Auditors,3.1721227,-3.8024101
"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media",22.994467,23.182455
Fire Inspectors and Investigators,Protective Service,26.880981,26.663193
Fire-Prevention and Protection Engineers,Architecture and Engineering,-17.192852,-22.060831
Firefighters,Protective Service,14.5075655,23.267174
First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,-21.069553,-16.56217
First-Line Supervisors of Correctional Officers,Protective Service,1.4120651,-7.3378735
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry",23.11041,26.630295
First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,14.442021,23.03541
First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related,1.5145824,13.019747
First-Line Supervisors of Gambling Services Workers,Personal Care and Service,23.42832,13.406993
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Transportation and Material Moving,15.201543,-30.010355
First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,6.829684,-3.0625088
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance,15.571383,15.731443
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Transportation and Material Moving,-17.838799,11.205104
"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",-11.155733,21.299383
First-Line Supervisors of Non-Retail Sales Workers,Sales and Related,-12.8171425,-10.043688
First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,22.718163,12.543523
First-Line Supervisors of Personal Service Workers,Personal Care and Service,-19.262526,-24.650883
First-Line Supervisors of Police and Detectives,Protective Service,-3.9046938,-16.294544
First-Line Supervisors of Production and Operating Workers,Production,-23.086264,0.6215222
First-Line Supervisors of Retail Sales Workers,Sales and Related,-11.945825,-8.47371
Fish and Game Wardens,Protective Service,2.083042,-5.429099
Fishing and Hunting Workers,"Farming, Fishing, and Forestry",7.4115915,30.054953
Fitness and Wellness Coordinators,Management,11.855013,7.062885
Flight Attendants,Transportation and Material Moving,3.5370085,17.394697
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction and Extraction,-26.545029,18.803856
Floor Sanders and Finishers,Construction and Extraction,51.4961,-39.41889
Floral Designers,"Arts, Design, Entertainment, Sports, and Media",-18.494709,-1.4001912
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production,-15.858308,24.799467
Food Batchmakers,Production,12.330529,27.253548
Food Cooking Machine Operators and Tenders,Production,-17.370337,15.809748
Food Preparation Workers,Food Preparation and Serving Related,11.169463,30.943064
Food Science Technicians,"Life, Physical, and Social Science",-14.458308,2.2975354
Food Scientists and Technologists,"Life, Physical, and Social Science",-16.832197,-14.86741
"Food Servers, Nonrestaurant",Food Preparation and Serving Related,-30.405611,-10.799987
Food Service Managers,Management,24.79539,14.511432
"Foreign Language and Literature Teachers, Postsecondary",Educational Instruction and Library,0.2843042,-14.160344
Forensic Science Technicians,"Life, Physical, and Social Science",13.594217,3.246823
Forest and Conservation Technicians,"Life, Physical, and Social Science",-2.857405,9.932963
Forest and Conservation Workers,"Farming, Fishing, and Forestry",-3.4808908,9.952934
Forest Fire Inspectors and Prevention Specialists,Protective Service,-21.760742,-8.062431
Foresters,"Life, Physical, and Social Science",20.823439,13.782914
"Forestry and Conservation Science Teachers, Postsecondary",Educational Instruction and Library,1.6894073,-13.5707655
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production,-26.667284,9.668348
Foundry Mold and Coremakers,Production,-29.88491,12.810555
"Fraud Examiners, Investigators and Analysts",Accountants and Auditors,-12.849588,-15.453115
Freight Forwarders,Office and Administrative Support,10.096372,8.583668
Fuel Cell Engineers,Architecture and Engineering,11.520256,12.375105
Fundraisers,Accountants and Auditors,11.305394,6.4630294
Funeral Attendants,Personal Care and Service,-1.6488299,-5.2796664
Funeral Home Managers,Management,-1.2970885,-7.538668
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production,-18.217468,17.645384
Furniture Finishers,Production,-7.560584,31.832846
Gambling and Sports Book Writers and Runners,Personal Care and Service,-27.347906,-4.037971
Gambling Cage Workers,Office and Administrative Support,35.711796,-13.468324
Gambling Change Persons and Booth Cashiers,Sales and Related,-28.794748,-18.797976
Gambling Dealers,Personal Care and Service,-27.593613,-3.9696522
Gambling Managers,Management,-28.645786,-3.589765
Gambling Surveillance Officers and Gambling Investigators,Protective Service,51.4961,-39.41889
Gas Compressor and Gas Pumping Station Operators,Transportation and Material Moving,-30.278732,-14.726364
Gas Plant Operators,Production,-17.601671,19.172003
Gem and Diamond Workers,Production,10.33238,21.307606
General and Operations Managers,Management,-11.520552,-14.170593
General Internal Medicine Physicians,Healthcare Practitioners and Technical,15.069469,-14.588414
Genetic Counselors,Healthcare Practitioners and Technical,13.330674,-10.909555
Geneticists,"Life, Physical, and Social Science",13.018211,0.28766695
Geodetic Surveyors,Architecture and Engineering,0.22898233,3.4855866
Geographers,"Life, Physical, and Social Science",-16.045282,-19.943304
Geographic Information Systems Technologists and Technicians,Computer and Mathematical,22.97346,21.45183
"Geography Teachers, Postsecondary",Educational Instruction and Library,0.7036298,-14.784419
"Geological Technicians, Except Hydrologic Technicians","Life, Physical, and Social Science",19.173483,13.971721
